DAC_Waarde,Snelheid_Meters_Per_Seconde
700,0.0
800,0.019
900,0.011
1000,0.0
1100,0.011
1200,0.17
1300,0.275
1400,0.377
1500,0.49
1600,0.602
1700,0.716
1800,0.819
1900,0.936
2000,1.045
2100,1.158
2200,1.273
2300,1.399
2400,1.499
2500,1.513
2600,1.495
2700,1.495
2800,1.499
2900,1.489
3000,1.466
3100,1.479
