DAC_Waarde,Snelheid_Meters_Per_Seconde
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.022
1200,0.205
1300,0.377
1400,0.42
1500,0.569
1600,0.65
1700,0.74
1800,0.954
1900,1.002
2000,1.079
2100,1.204
2200,1.308
2300,1.397
2400,1.465
2500,1.48
2600,1.468
2700,1.477
2800,1.489
2900,1.476
3000,1.478
3100,1.488
