DAC_Waarde,Snelheid_Meters_Per_Seconde
700,0.022
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.138
1300,0.264
1400,0.375
1500,0.486
1600,0.579
1700,0.695
1800,0.806
1900,0.909
2000,1.034
2100,1.136
2200,1.264
2300,1.366
2400,1.477
2500,1.578
2600,1.684
2700,1.775
2800,1.852
2900,1.965
3000,1.979
3100,1.942
