DAC_Waarde,Snelheid_Meters_Per_Seconde
700,0.011
800,0.011
900,0.0
1000,0.0
1100,0.0
1200,0.245
1300,0.312
1400,0.414
1500,0.627
1600,0.695
1700,0.704
1800,0.71
1900,0.706
2000,0.705
2100,0.693
2200,0.693
2300,0.704
2400,0.704
2500,0.716
2600,0.715
2700,0.716
2800,0.739
2900,0.728
3000,0.727
3100,0.74
